;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;36,550003;
293,8858;-4,7972487;
293,9416;-2,3888622;
293,9975;-1,766119;
294,0533;-1,5627954;
294,1091;-2,5294934;
294,1649;-1,0028214;
294,2208;-2,3802617;
294,2766;-1,4740572;
294,3324;-2,4416246;
294,3883;-3,2184619;
294,4441;-2,7890466;
294,4999;-1,4691351;
294,5557;-2,9569035;
294,6116;-2,5849026;
294,6674;-1,0580496;
294,7232;-1,9403354;
294,7790;-1,6303063;
294,8349;3,5850801;
294,8907;-0,12917665;
294,9465;-0,70786828;
295,0024;-0,25525195;
295,0582;-1,1344079;
295,1140;-1,6661914;
295,1698;-0,71010723;
295,2257;2,508333;
295,2815;19,627248;
295,3373;33,859397;
295,3931;41,305639;
295,4490;46,309386;
295,5048;41,775814;
295,5606;34,919091;
295,6164;26,553995;
295,6723;27,627701;
295,7281;34,981494;
295,7839;33,440625;
295,8398;29,183103;
295,8956;29,052854;
295,9514;27,059409;
296,0072;23,935413;
296,0631;24,420318;
296,1189;21,516627;
296,1747;14,762067;
296,2305;14,134522;
296,2864;15,338441;
296,3422;14,695642;
296,3980;17,311223;
296,4538;25,934852;
296,5097;34,969995;
296,5655;44,268907;
296,6213;57,419401;
296,6772;59,175613;
296,7330;62,089613;
296,7888;62,556456;
296,8446;47,562808;
296,9005;36,202343;
296,9563;36,181177;
297,0121;43,589904;
297,0679;46,190481;
297,1238;44,08417;
297,1796;35,867393;
297,2354;33,62909;
297,2913;44,426586;
297,3471;60,162222;
297,4029;60,375696;
297,4587;45,766933;
297,5146;30,542041;
297,5704;19,238189;
297,6262;17,342521;
297,6820;18,08556;
297,7379;17,283513;
297,7937;16,448486;
297,8495;18,060165;
297,9053;17,571958;
297,9612;20,280851;
298,0170;21,050003;
298,0728;25,306653;
298,1287;28,20084;
298,1845;39,061536;
298,2403;49,665026;
298,2961;47,996569;
298,3520;53,359907;
298,4078;64,908568;
298,4636;64,290932;
298,5194;54,532997;
298,5753;47,328422;
298,6311;38,124127;
298,6869;31,698839;
298,7428;27,80879;
298,7986;26,623195;
298,8544;22,389438;
298,9102;19,064923;
298,9661;14,450908;
299,0219;13,324208;
299,0777;15,778499;
299,1335;18,968775;
299,1894;19,349152;
299,2452;19,737384;
299,3010;24,762456;
299,3568;28,679683;
299,4127;39,415859;
299,4685;54,25626;
299,5243;59,220449;
299,5802;45,490469;
299,6360;33,806991;
299,6918;22,087445;
299,7476;18,46335;
299,8035;24,615078;
299,8593;29,76254;
299,9151;40,347954;
299,9709;59,49717;
300,0268;80,170914;
300,0826;86,5394;
300,1384;82,946461;
300,1943;72,903305;
300,2501;54,773389;
300,3059;41,962938;
300,3617;38,741715;
300,4176;29,565421;
300,4734;21,550003;
300,5292;21,456509;
300,5850;20,298634;
300,6409;23,513587;
300,6967;41,495553;
300,7525;56,29368;
300,8083;74,873863;
300,8642;87,744573;
300,9200;84,526442;
300,9758;73,131746;
301,0317;66,878246;
301,0875;57,668262;
301,1433;47,82827;
301,1991;49,027949;
